inquiry_id,listing_id,agent_id,inquiry_date,contact_method,outcome,response_time_hours
INQ00001,LST00924,AGT092,2024-09-26,WhatsApp,offer_made,41:02:00
INQ00002,LST00934,AGT095,2022-08-05,Walk-in,viewing_scheduled,43:09:00
INQ00003,LST00833,AGT127,2022-04-20,Telepon,viewing_scheduled,33:09:00
INQ00004,LST00020,AGT028,2023-08-24,Telepon,no_response,
INQ00005,LST00394,AGT111,2024-06-20,Email,info_sent,5:09
INQ00006,LST00503,AGT117,2022-06-12,Email,deal_closed,19:02
INQ00007,LST00461,AGT107,2025-02-07,Walk-in,info_sent,57:00:00
INQ00008,LST00283,AGT052,2024-03-05,WhatsApp,info_sent,61:01:00
INQ00009,LST00061,AGT003,2022-12-23,WhatsApp,info_sent,45:06:00
INQ00010,LST00336,AGT122,2024-02-11,Email,viewing_scheduled,40:05:00
INQ00011,LST00803,AGT042,2022-03-27,WhatsApp,viewing_scheduled,70:09:00
INQ00012,LST00620,AGT089,2025-02-02,Telepon,info_sent,59:04:00
INQ00013,LST00662,AGT022,2023-12-05,Email,viewing_scheduled,8:08
INQ00014,LST00752,AGT053,2022-02-11,Walk-in,info_sent,37:07:00
INQ00015,LST00517,AGT142,2024-05-23,WhatsApp,info_sent,30:05:00
INQ00016,LST00839,AGT131,2022-03-10,WhatsApp,info_sent,14:08
INQ00017,LST00304,AGT011,2022-03-19,WhatsApp,offer_made,46:04:00
INQ00018,LST00432,AGT052,2024-09-17,WhatsApp,viewing_scheduled,55:09:00
INQ00019,LST00152,AGT094,2023-11-05,Email,info_sent,40:00:00
INQ00020,LST00609,AGT131,2023-06-19,Walk-in,info_sent,7:08
INQ00021,LST00281,AGT097,2024-08-18,WhatsApp,info_sent,50:09:00
INQ00022,LST00465,AGT016,2023-04-26,WhatsApp,viewing_scheduled,9:03
INQ00023,LST00980,AGT058,2023-02-12,WhatsApp,no_response,
INQ00024,LST00889,AGT020,2023-03-22,Telepon,viewing_scheduled,26:06:00
INQ00025,LST00323,AGT136,2023-06-19,Telepon,no_response,
INQ00026,LST00644,AGT020,2022-11-17,Email,info_sent,28:05:00
INQ00027,LST00335,AGT056,2023-03-23,Email,info_sent,23:04
INQ00028,LST00775,AGT039,2023-08-27,Telepon,no_response,
INQ00029,LST00741,AGT128,2023-02-22,Telepon,no_response,
INQ00030,LST00950,AGT129,2024-04-21,WhatsApp,no_response,
INQ00031,LST00105,AGT103,2022-09-28,WhatsApp,offer_made,17:00
INQ00032,LST00773,AGT107,2022-10-25,WhatsApp,info_sent,5:09
INQ00033,LST00352,AGT083,2023-03-16,WhatsApp,viewing_scheduled,28:09:00
INQ00034,LST00064,AGT121,2024-04-08,WhatsApp,offer_made,56:09:00
INQ00035,LST00712,AGT078,2024-01-10,Telepon,no_response,
INQ00036,LST00834,AGT130,2023-08-07,Telepon,info_sent,8:04
INQ00037,LST00934,AGT095,2022-08-13,WhatsApp,info_sent,4:02
INQ00038,LST00700,AGT146,2025-01-01,WhatsApp,no_response,
INQ00039,LST00659,AGT063,2023-01-18,WhatsApp,viewing_scheduled,3:01
INQ00040,LST00225,AGT088,2024-09-04,WhatsApp,no_response,
INQ00041,LST00513,AGT132,2023-03-27,WhatsApp,info_sent,54:05:00
INQ00042,LST00687,AGT009,2022-05-29,WhatsApp,viewing_scheduled,55:01:00
INQ00043,LST00505,AGT063,2022-11-04,Email,offer_made,50:02:00
INQ00044,LST00564,AGT098,2022-11-06,WhatsApp,info_sent,42:05:00
INQ00045,LST00214,AGT074,2022-05-29,Telepon,viewing_scheduled,0:06
INQ00046,LST00719,AGT062,2024-12-18,Telepon,info_sent,36:07:00
INQ00047,LST00849,AGT028,2024-07-29,WhatsApp,info_sent,11:00
INQ00048,LST00008,AGT123,2022-12-13,Walk-in,viewing_scheduled,20:03
INQ00049,LST00570,AGT125,2023-09-16,Telepon,info_sent,11:06
INQ00050,LST00207,AGT017,2024-04-25,Email,info_sent,24:01:00
INQ00051,LST00335,AGT056,2023-05-20,WhatsApp,no_response,
INQ00052,LST00667,AGT086,2023-03-21,Telepon,no_response,
INQ00053,LST00457,AGT144,2025-01-11,Email,offer_made,36:09:00
INQ00054,LST00416,AGT049,2025-01-21,WhatsApp,no_response,
INQ00055,LST00043,AGT043,2023-09-27,WhatsApp,deal_closed,67:02:00
INQ00056,LST00211,AGT084,2024-12-30,Walk-in,viewing_scheduled,53:00:00
INQ00057,LST00306,AGT007,2023-11-14,Email,info_sent,26:01:00
INQ00058,LST00056,AGT057,2024-11-30,Email,info_sent,40:09:00
INQ00059,LST00906,AGT003,2022-08-13,WhatsApp,viewing_scheduled,1:08
INQ00060,LST00013,AGT099,2024-11-08,WhatsApp,info_sent,14:09
INQ00061,LST00970,AGT075,2024-09-20,WhatsApp,deal_closed,23:06
INQ00062,LST00401,AGT118,2022-06-23,Telepon,viewing_scheduled,40:04:00
INQ00063,LST00293,AGT011,2023-03-11,WhatsApp,viewing_scheduled,7:08
INQ00064,LST00001,AGT108,2023-02-26,Email,no_response,
INQ00065,LST00878,AGT070,2022-02-05,WhatsApp,no_response,
INQ00066,LST00311,AGT023,2022-12-08,WhatsApp,deal_closed,40:09:00
INQ00067,LST00164,AGT054,2024-10-10,WhatsApp,info_sent,15:06
INQ00068,LST00196,AGT075,2023-10-07,Walk-in,info_sent,5:06
INQ00069,LST00428,AGT144,2023-07-03,WhatsApp,deal_closed,2:06
INQ00070,LST00123,AGT137,2024-12-22,WhatsApp,info_sent,33:00:00
INQ00071,LST00955,AGT104,2023-04-23,WhatsApp,offer_made,53:06:00
INQ00072,LST00699,AGT011,2024-02-12,Telepon,info_sent,1:01
INQ00073,LST00089,AGT062,2024-06-20,WhatsApp,viewing_scheduled,62:06:00
INQ00074,LST00594,AGT110,2022-06-01,Telepon,info_sent,19:05
INQ00075,LST00720,AGT082,2024-04-03,Telepon,no_response,
INQ00076,LST00749,AGT098,2023-10-25,WhatsApp,no_response,
INQ00077,LST00408,AGT135,2022-11-25,WhatsApp,no_response,
INQ00078,LST00510,AGT022,2022-05-20,Telepon,info_sent,12:07
INQ00079,LST00014,AGT020,2023-04-24,Email,no_response,
INQ00080,LST00983,AGT146,2023-08-23,WhatsApp,offer_made,20:03
INQ00081,LST00491,AGT085,2023-05-15,WhatsApp,no_response,
INQ00082,LST00688,AGT024,2023-04-14,WhatsApp,info_sent,49:07:00
INQ00083,LST00830,AGT079,2022-01-19,Email,no_response,
INQ00084,LST00895,AGT025,2022-12-14,Telepon,offer_made,35:02:00
INQ00085,LST00238,AGT133,2025-01-21,WhatsApp,info_sent,6:05
INQ00086,LST00377,AGT021,2023-07-16,Telepon,viewing_scheduled,11:09
INQ00087,LST00675,AGT093,2022-08-25,Walk-in,viewing_scheduled,39:00:00
INQ00088,LST00329,AGT078,2023-05-24,WhatsApp,info_sent,41:08:00
INQ00089,LST00382,AGT051,2022-06-16,WhatsApp,deal_closed,21:01
INQ00090,LST00834,AGT130,2023-10-19,Email,viewing_scheduled,29:04:00
INQ00091,LST00985,AGT134,2024-12-23,WhatsApp,viewing_scheduled,18:03
INQ00092,LST00141,AGT125,2025-02-28,WhatsApp,offer_made,33:06:00
INQ00093,LST00772,AGT097,2024-12-12,Email,info_sent,64:01:00
INQ00094,LST00352,AGT083,2022-11-11,Email,no_response,
INQ00095,LST00614,AGT033,2023-07-12,Telepon,offer_made,59:09:00
INQ00096,LST00164,AGT054,2025-02-09,WhatsApp,info_sent,59:04:00
INQ00097,LST00406,AGT115,2023-02-06,WhatsApp,no_response,
INQ00098,LST00514,AGT051,2023-07-15,WhatsApp,viewing_scheduled,7:06
INQ00099,LST00005,AGT011,2022-04-06,Telepon,offer_made,67:09:00
INQ00100,LST00758,AGT141,2024-07-21,Email,offer_made,56:07:00
