listing_id,agent_id,property_type,address,city,province,asking_price_idr,size_sqm,bedrooms,bathrooms,land_area_sqm,listed_date,status,days_on_market
LST00001,AGT108,Rumah,Perumahan Taman Mas Blok G4 No. 64,Bali,Bali,14109000000,113,6,6,271,2023-02-11,active,312
LST00002,AGT052,Vila,Jl. Mahoni No. 11,Bekasi,Jawa Barat,9617000000,417,4,4,827,2025-01-27,active,255
LST00003,AGT054,Rumah,Perumahan Taman Mas Blok A27 No. 74,Semarang,Jawa Tengah,11775000000,306,4,2,306,2024-10-08,sold,39
LST00004,AGT024,Vila,Perumahan Kelapa Gading Blok C15 No. 7,Jakarta Selatan,DKI Jakarta,17767000000,188,3,3,567,2022-07-24,sold,45
LST00005,AGT011,Apartemen,Jl. Flamboyan No. 218,Bandung,Jawa Barat,2730000000,114,3,2,,2022-04-04,active,5
LST00006,AGT036,Rumah,Jl. Gatot Subroto No. 225,Tangerang,Banten,11368000000,391,3,2,482,2022-07-10,active,191
LST00007,AGT088,Kavling,Jl. Tunjungan No. 70,Yogyakarta,DI Yogyakarta,949000000,138,0,0,138,2024-02-29,active,354
LST00008,AGT123,Apartemen,Jl. Kenanga No. 242,Jakarta Selatan,DKI Jakarta,3804000000,188,2,1,,2022-11-23,sold,27
LST00009,AGT107,Kavling,Jl. Pahlawan No. 47,Jakarta Selatan,DKI Jakarta,2619000000,327,0,0,327,2024-02-17,active,399
LST00010,AGT092,Rumah,Cluster Mawar Blok D2 No. 9,Bandung,Jawa Barat,10516000000,74,3,2,198,2023-06-20,active,336
LST00011,AGT081,Ruko,Jl. Pisang No. 245,Tangerang,Banten,1002000000,348,0,3,421,2023-11-24,active,266
LST00012,AGT134,Rumah,Jl. Sudirman No. 124,Tangerang,Banten,11776000000,418,6,1,528,2023-12-10,sold,170
LST00013,AGT099,Rumah,Perumahan Bintaro Sektor Blok E28 No. 61,Jakarta Selatan,DKI Jakarta,2935000000,489,6,5,502,2024-10-12,active,85
LST00014,AGT020,Rumah,Jl. Kenanga No. 130,Jakarta Pusat,DKI Jakarta,12811000000,311,4,2,395,2023-04-02,active,282
LST00015,AGT097,Ruko,Jl. Pahlawan No. 23,Jakarta Barat,DKI Jakarta,7407000000,200,0,1,258,2024-10-17,sold,115
LST00016,AGT081,Rumah,Jl. Mawar No. 212,Jakarta Selatan,DKI Jakarta,2444000000,314,2,1,417,2022-07-06,sold,155
LST00017,AGT078,Ruko,Jl. Senopati No. 94,Semarang,Jawa Tengah,9128000000,367,0,1,450,2022-04-22,sold,58
LST00018,AGT117,Apartemen,Jl. Pahlawan No. 30,Jakarta Selatan,DKI Jakarta,3069000000,165,4,3,,2022-07-19,sold,169
LST00019,AGT057,Kavling,Perumahan Pakuwon Blok G10 No. 71,Depok,Jawa Barat,208000000,254,0,0,254,2024-12-05,active,192
LST00020,AGT028,Kavling,Jl. Dago No. 28,Bogor,Jawa Barat,387000000,164,0,0,164,2023-06-05,sold,157
LST00021,AGT051,Kavling,Jl. Riau No. 56,Tangerang,Banten,968000000,141,0,0,141,2024-07-25,sold,49
LST00022,AGT087,Rumah,Jl. Tulip No. 198,Bekasi,Jawa Barat,2265000000,447,5,1,609,2024-07-11,sold,118
LST00023,AGT130,Kavling,Perumahan Graha Famili Blok A18 No. 56,Jakarta Pusat,DKI Jakarta,751000000,335,0,0,335,2024-09-16,active,261
LST00024,AGT046,Rumah,Perumahan Pakuwon Blok E20 No. 42,Bali,Bali,11834000000,356,3,3,388,2024-10-29,active,197
LST00025,AGT108,Rumah,Jl. Diponegoro No. 116,Jakarta Selatan,DKI Jakarta,10477000000,414,3,2,515,2022-10-01,active,71
LST00026,AGT106,Kavling,Jl. Solo No. 77,Jakarta Timur,DKI Jakarta,2667000000,438,0,0,438,2025-01-26,active,161
LST00027,AGT142,Vila,Perumahan Cibubur Country Blok F5 No. 91,Bekasi,Jawa Barat,8121000000,252,4,5,667,2022-12-31,active,258
LST00028,AGT139,Apartemen,Jl. Dago No. 173,Jakarta Utara,DKI Jakarta,2990000000,51,3,3,,2024-12-29,off_market,176
LST00029,AGT109,Rumah,Perumahan Griya Asri Blok F2 No. 26,Yogyakarta,DI Yogyakarta,13743000000,66,6,1,72,2023-07-01,active,385
LST00030,AGT042,Ruko,Jl. Diponegoro No. 53,Jakarta Barat,DKI Jakarta,5495000000,208,0,1,215,2025-01-13,sold,9
LST00031,AGT092,Apartemen,Jl. Braga No. 61,Jakarta Selatan,DKI Jakarta,4057000000,48,2,3,,2024-11-12,active,357
LST00032,AGT074,Ruko,Jl. Kemang Raya No. 248,Depok,Jawa Barat,1569000000,275,0,2,328,2022-04-21,sold,4
LST00033,AGT065,Kavling,Jl. Pahlawan No. 213,Jakarta Selatan,DKI Jakarta,1031000000,397,0,0,397,2023-04-07,sold,163
LST00034,AGT095,Apartemen,Jl. Diponegoro No. 115,Surabaya,Jawa Timur,4827000000,176,2,3,,2022-12-30,sold,175
LST00035,AGT020,Apartemen,Jl. Gatot Subroto No. 143,Tangerang,Banten,1881000000,66,1,2,,2023-06-26,off_market,96
LST00036,AGT042,Apartemen,Jl. Cendana No. 11,Jakarta Selatan,DKI Jakarta,2439000000,23,3,2,,2022-11-11,sold,83
LST00037,AGT014,Rumah,Jl. Wolter Monginsidi No. 19,Jakarta Timur,DKI Jakarta,13175000000,380,6,6,457,2023-10-13,active,270
LST00038,AGT057,Ruko,Jl. Dago No. 140,Jakarta Selatan,DKI Jakarta,3812000000,346,0,1,446,2025-01-04,sold,104
LST00039,AGT024,Kavling,Jl. Senopati No. 85,Jakarta Selatan,DKI Jakarta,1631000000,193,0,0,193,2024-01-09,active,151
LST00040,AGT056,Apartemen,Jl. Pahlawan No. 62,Malang,Jawa Timur,4695000000,143,1,1,,2023-05-15,off_market,50
LST00041,AGT083,Rumah,Jl. Diponegoro No. 7,Surabaya,Jawa Timur,6748000000,467,2,2,532,2024-11-24,active,395
LST00042,AGT096,Rumah,Perumahan Pakuwon Blok B11 No. 66,Surabaya,Jawa Timur,8926000000,471,6,4,595,2022-06-18,sold,25
LST00043,AGT043,Kavling,Perumahan Taman Mas Blok B22 No. 81,Jakarta Barat,DKI Jakarta,2403000000,353,0,0,353,2023-03-13,active,351
LST00044,AGT109,Ruko,Jl. Pemuda No. 166,Jakarta Selatan,DKI Jakarta,2502000000,185,0,3,274,2022-05-28,active,383
LST00045,AGT040,Apartemen,Jl. Kenanga No. 46,Jakarta Pusat,DKI Jakarta,544000000,139,3,1,,2023-05-31,active,286
LST00046,AGT019,Rumah,Perumahan Pakuwon Blok D14 No. 41,Semarang,Jawa Tengah,9920000000,480,3,2,584,2022-02-04,active,200
LST00047,AGT031,Ruko,Jl. Anggrek No. 180,Bandung,Jawa Barat,9562000000,83,0,3,175,2022-05-29,sold,92
LST00048,AGT129,Rumah,Jl. Pahlawan No. 98,Jakarta Timur,DKI Jakarta,2238000000,208,4,1,280,2024-03-20,active,339
LST00049,AGT008,Vila,Jl. Diponegoro No. 246,Jakarta Selatan,DKI Jakarta,16531000000,230,7,6,349,2022-10-23,active,153
LST00050,AGT096,Rumah,Perumahan Pondok Indah Blok E13 No. 69,Tangerang,Banten,682000000,343,6,2,374,2025-01-26,active,44
LST00051,AGT079,Apartemen,Jl. Solo No. 37,Surabaya,Jawa Timur,2070000000,110,2,2,,2022-11-26,sold,48
